user_key,rt_source,weight
4ever1937,Kasparov63,1
4ever1937,KatasonovaMaria,1
4ever1937,dansenor,1
4ever1937,gabeschoenfeld,1
4ever1937,politico,1
4ever1937,rabid_child,1
4mysquad,DrJillStein,1
4mysquad,GunterGSharp,1
4mysquad,JeanetteJing,1
4mysquad,Phil_Lewis_,1
4mysquad,djiboutique,1
4mysquad,jjack9400,1
6druz,NevskyAlexandr,1
6druz,RomaAcorn,1
6druz,a_malahov,1
6druz,realDonaldTrump,1
6druz,tina_kandelaki,1
_billy_moyer_,patrick_hostis,1
_nickluna_,1FishingGoddess,1
_nickluna_,2ALAW,1
_nickluna_,4elissab,1
_nickluna_,AC360,1
_nickluna_,ACommonSenseWay,1
_nickluna_,AIIAmericanGirI,2
_nickluna_,AZPatriot01,1
_nickluna_,AbnInfVet,1
_nickluna_,AgendaOfEvil,1
_nickluna_,AlRobins2015,1
_nickluna_,AllRepublicans,1
_nickluna_,Always_Trump,1
_nickluna_,America_1st_,1
_nickluna_,AmericanMex067,1
_nickluna_,AmyMek,1
_nickluna_,AnnCoulter,2
_nickluna_,AnthonyVVeiner,1
_nickluna_,ArcticFox2016,1
_nickluna_,BTeboe,1
_nickluna_,BayShoreIsHome,1
_nickluna_,BestRDSP,1
_nickluna_,Beth4Freedom,1
_nickluna_,Bidenshairplugz,1
_nickluna_,BourgelasJen,1
_nickluna_,CBSNews,1
_nickluna_,CLARITY1963,1
_nickluna_,CUBASIKASTRONO,1
_nickluna_,Callisto1947,1
_nickluna_,CarmineZozzora,1
_nickluna_,CastingBallot,1
_nickluna_,Cernovich,1
_nickluna_,CherryFyre,1
_nickluna_,ChristiChat,1
_nickluna_,ChristieC733,1
_nickluna_,CodeAud,1
_nickluna_,ColbyST1,1
_nickluna_,CooknCooks,1
_nickluna_,CounterJihadUS,1
_nickluna_,DRUDGE_REPORT,1
_nickluna_,D_Dextra,1
_nickluna_,DanScavino,2
_nickluna_,Darren32895836,1
_nickluna_,Democrat_4Trump,3
_nickluna_,EnterQuotes,1
_nickluna_,EntheosShines,1
_nickluna_,Etherkat,1
_nickluna_,FLNJ312,1
_nickluna_,FaithBased92,1
_nickluna_,FiveRights,2
_nickluna_,Flufferstuff,1
_nickluna_,FoxNews,3
_nickluna_,FranCifelli,1
_nickluna_,FreeBeacon,1
_nickluna_,GarrettSimpson_,2
_nickluna_,GartrellLinda,1
_nickluna_,Ginlefebvre,1
_nickluna_,GiselleEvns,1
_nickluna_,GoldStarMomTX55,1
_nickluna_,GregJaye,3
_nickluna_,GrrrGraphics,1
_nickluna_,HEYWALIO21,1
_nickluna_,HahnAmerica,1
_nickluna_,HalleyBorderCol,2
_nickluna_,HillaryClinton,1
_nickluna_,HillaryLostMe,1
_nickluna_,HomerWhite,1
_nickluna_,HossReynolds,1
_nickluna_,HouseCracka,1
_nickluna_,IAmJohnSparks,2
_nickluna_,InGodIDoTrust,6
_nickluna_,Inforwarrior2,1
_nickluna_,Ivorysnow3567,1
_nickluna_,JCRaskaus,1
_nickluna_,JackBPR,1
_nickluna_,JamesOKeefeIII,1
_nickluna_,Janetlarose1,1
_nickluna_,JeffSanchezz,2
_nickluna_,JohnKStahlUSA,3
_nickluna_,JohnTurscak,1
_nickluna_,Jude_Lamb,1
_nickluna_,Judianna,1
_nickluna_,KellyannePolls,2
_nickluna_,KimJ1011,1
_nickluna_,KinMapper,1
_nickluna_,KurtSchlichter,1
_nickluna_,KyleWRowley,1
_nickluna_,LSUJEFF,1
_nickluna_,Lagartija_Nix,1
_nickluna_,Larryputt,2
_nickluna_,LatestAnonNews,1
_nickluna_,LauraWalkerKC,1
_nickluna_,LeroyLovesUSA,3
_nickluna_,LibertyBell1000,1
_nickluna_,LibertysFreedom,1
_nickluna_,Liljunjon,1
_nickluna_,LisaVikingstad,1
_nickluna_,Liz_Cheney,1
_nickluna_,Logan_WhatsUp,1
_nickluna_,LordKnighticus,1
