screen_name,dormancy_days,posting_velocity,follower_friend_ratio,total_tweets,avg_retweets,rt_share,tz_class,lang_class
gloed_up,78.0,0.7465753424657534,1.9292777944261312,327.0,176.43298969072166,0.4434250764525994,US,English
tpartynews,0.0,3.6314779270633397,0.9118130363337593,1892.0,125.34622144112478,0.04492600422832981,US,English
coldwar20_ru,888.0,0.047058823529411764,8.39056603773585,4.0,67.75,0.25,Russian/E. European,Russian
redlanews,101.0,0.9746192893401016,1.1189139649444382,192.0,60.8125,0.0,US,English
patriototus,225.0,1.0248447204968945,1.2747976254722073,165.0,49.81212121212121,0.006060606060606061,US,English
rightnpr,160.0,1.4432432432432432,1.1723833543505675,267.0,35.27710843373494,0.3595505617977528,US,English
todayinsyria,285.0,0.9354838709677419,4.332786885245902,116.0,29.612068965517242,0.008620689655172414,Other,English
russianallies,834.0,0.1,7.201640464798359,3.0,22.0,0.0,Other,English
blacneighbor,243.0,0.21686746987951808,1.1295955882352942,18.0,16.944444444444443,0.05555555555555555,US,English
blackmattersus,195.0,0.20364741641337386,1.0424587206882199,67.0,16.07547169811321,0.014925373134328358,US,English
zubovnik,430.0,0.0045871559633027525,39.57686453576864,2.0,9.0,0.0,Russian/E. European,Russian
inst_vets,138.0,0.09523809523809523,0.616870876531574,4.0,8.75,0.0,Unknown,English
instotus,124.0,0.058823529411764705,0.9525416578780848,3.0,7.0,0.0,US,English
nj_blacknews,23.0,0.056291390728476824,1.492063492063492,17.0,6.0625,0.0,US,English
erdollum,96.0,0.19230769230769232,1.1993808049535604,20.0,1.55,0.0,Russian/E. European,Other
chrisuport_port,63.0,0.05045871559633028,0.8220382824624936,11.0,1.2,0.0,Russian/E. European,Other
berkhoff85,122.0,0.1791044776119403,0.5514312676942434,12.0,1.1666666666666667,0.08333333333333333,Russian/E. European,Other
bydrbre_,166.0,1.0,2.186290936785986,1.0,1.0,0.0,Russian/E. European,Russian
dontshootcom,178.0,0.08928571428571429,1.0153946227233304,10.0,0.8333333333333334,0.3,US,English
lukas_rosler,108.0,0.14035087719298245,0.3968046951418324,8.0,0.5,0.0,Russian/E. European,Other
mtthsberger,146.0,0.36363636363636365,0.33041132838840187,4.0,0.5,0.0,Russian/E. European,Other
heyits_toby,47.0,3.0302083333333334,0.8496420047732697,2909.0,0.2,0.023375730491577863,US,English
mr_clampin,784.0,8.06970509383378,1.1361581920903956,3010.0,0.16279069767441862,0.03322259136212625,US,English
happkendrahappy,552.0,1.2776203966005666,1.2915072685539404,451.0,0.10538116591928251,0.9600886917960089,US,English
hyddrox,840.0,14.19375,1.03056970819824,6813.0,0.0703103542982697,0.5325113753119037,US,English
dannythehappies,329.0,0.09076175040518639,1.199612403100775,56.0,0.06976744186046512,0.7142857142857143,US,English
traceyhappymom,792.0,7.608142493638677,1.1022964509394573,2990.0,0.05405405405405406,0.04046822742474916,US,English
toneporter,785.0,0.3384615384615385,1.0973011363636365,44.0,0.04878048780487805,0.75,US,English
skatewake1994,2001.0,0.22330097087378642,0.2857142857142857,23.0,0.043478260869565216,0.6521739130434783,Unknown,English
cassishere,605.0,1.2495784148397977,0.9554054054054054,741.0,0.039780521262002745,0.9608636977058029,US,English
