hashtag,count,lean
politics,3606,Other
maga,3079,Pro-Trump
trump,2425,Pro-Trump
tcot,2366,Conservative
news,1973,Other
neverhillary,1375,Anti-Clinton
pjnet,1276,Other
trumppence16,980,Pro-Trump
trump2016,947,Pro-Trump
merkelmussbleiben,796,Other
hillary,758,Anti-Clinton
trumptrain,719,Pro-Trump
hillaryclinton,704,Anti-Clinton
crookedhillary,678,Anti-Clinton
wakeupamerica,661,Other
rejecteddebatetopics,657,Other
ccot,600,Other
obama,599,Other
blacklivesmatter,581,Race/BLM
2a,565,Other
betteralternativetodebates,554,Other
p2,548,Other
imwithher,542,Anti-Clinton
thingsyoucantignore,526,Other
survivalguidetothanksgiving,519,Other
ihavearighttoknow,511,Other
thingsmoretrustedthanhillary,496,Other
debate,494,Neutral
idrunforpresidentif,494,Other
christmasaftermath,492,Other
nowplaying,481,Other
makeamericagreatagain,479,Pro-Trump
clinton,479,Other
islamkills,477,Anti-Islam
ruinadinnerinonephrase,473,Other
reallifemagicspells,471,Other
giftideasforpoliticians,459,Other
makemehateyouinonephrase,450,Other
trumpforpresident,447,Other
gop,441,Other
