domain,count,class
twitter.com,11449,Social
bit.ly,5693,Other
youtu.be,1353,Video
twibble.io,945,Other
ln.is,761,Other
youtube.com,607,Video
dlvr.it,588,Other
breitbart.com,580,Right-fringe
wapo.st,497,Other
ow.ly,489,Other
goo.gl,472,Other
buff.ly,425,Other
dailycaller.com,382,Right-leaning
frontpagemag.com,309,Other
sh.st,297,Other
fb.me,266,Other
on.rt.com,246,Other
huffingtonpost.com,227,Other
wcvb.com,210,Other
shar.es,206,Other
ift.tt,206,Other
infowars.com,205,Right-fringe
truthfeed.com,200,Right-fringe
hill.cm,191,Other
dailym.ai,190,Other
thehill.com,187,Other
politi.co,175,Other
nytimes.com,172,Mainstream-L
donaldjtrump.com,172,Other
thegatewaypundit.com,156,Other
